CodeStateID,Reason
3dc97647ba849e2dfa84675123aab559db870ca4,"[0, 1, 0, 0, 1]"
7be7d4235f5568388f251ff6d019b5e0ce45d50a,"[0, 1, 0, 0, 1]"
518a4c557411c2fcdfe93d02051b93aa38809de5,"[0, 1, 0, 0, 1]"
1df259ff74fb74048c7eada310c8b9be64b12808,"[1, 1, 0, 0, 0]"
a38653aba0bf408afb7f4eb645f7569cc396043c,"[0, 0, 1, 0, 1]"
f6e3ec5bc6f906068731f7ab16edf3f95fe8a569,"[1, 1, 0, 0, 0]"
61c8526b418f616b2000e3313c999bdd732ca68e,"[1, 1, 0, 0, 0]"
4bf69f6e815fa3af72d93d1f6c41d6d0d4a80006,"[1, 1, 0, 0, 0]"
897d3138dff1637df98d50d6f6d1bf11a008b08a,"[0, 1, 0, 0, 1]"
c15999c5e8aa16b35bd2a76d802f93b9f7d56d3c,"[0, 0, 1, 0, 1]"
41ba84dd3678dfe3b4bf74f33069c363370bf53a,"[0, 1, 0, 0, 1]"
3093efd3723628b8588583205039945be4c60943,"[0, 1, 0, 0, 1]"
9745f1c0baa7370c730b11f7eb5a2d4ce5f7632c,"[0, 1, 0, 0, 1]"
b17475bc8abb87c084984ca3b2b4f3fb8a4e1a6a,"[0, 1, 0, 0, 1]"
fb08ab361502cb83a6a4ac79f5d53e461dcbbbf3,"[0, 1, 0, 0, 1]"
58af043ffcab9f3288de0c396f52acfd9501b1c5,"[0, 0, 1, 0, 1]"
f0ac1544898b0d5a897930d7a67c05c04cc83692,"[1, 1, 0, 0, 0]"
a0f0dd366abbd30525b6425738f26e41b20f759a,"[1, 1, 0, 0, 0]"
8726db2d13cd5d96f8b9a4cfd78e07e148cc9788,"[0, 1, 0, 0, 1]"
00b4e1f592941400aa6ad9990e287e5b702f6063,"[0, 0, 1, 0, 1]"
363367e3f2ddb61bd59e128366cd0e3ea2fcfb23,"[0, 0, 1, 0, 1]"
b67c747c9912331c9c27f6fc30234fa9160cd2c9,"[0, 1, 0, 0, 1]"
8ae6cbe293f053d2a4e0781c7bd1339d249ac2dd,"[0, 1, 0, 0, 1]"
bbb634b60cf35cb78c42042ec4a0ca9beaf394e5,"[1, 1, 0, 0, 0]"
d0c34cabb886eb09542ef7b648efff3a019691f6,"[1, 1, 0, 0, 0]"
f19dd2127be98b55334d4b9674819ba3414106a1,"[0, 1, 0, 0, 1]"
d60a36d057b2c882a7b08b84f8ad8973d024fa4e,"[0, 1, 0, 0, 1]"
ed5206c18708519061da40b9939e45b657af5957,"[1, 1, 0, 0, 0]"
312403e64442c93e05a838ea78eaa24f495f1efb,"[0, 0, 1, 0, 1]"
fa9960e368bf89c887a534bc300078d0ed5cffd0,"[1, 1, 0, 0, 0]"
8ec1e923e6b4d6099e6f6af02e8b27ab638425da,"[1, 1, 0, 0, 0]"
f21eb65c11711774951e98b4f3be0987be8637c2,"[1, 1, 0, 0, 0]"
e75cbca8c9a970a335961c0c90314ca95d1d12fc,"[1, 1, 0, 0, 0]"
895ae5d33f1531c57521a14bee8054d18af2f83b,"[0, 0, 1, 0, 1]"
f590d25394f8ef37f23e4a6a538a5766284d371c,"[0, 1, 0, 0, 1]"
473379261e882f0aa8ff3f7aafe2a0ac951c4b60,"[0, 1, 0, 0, 1]"
305f1b8a18ba4210d7ca4657d6e8fece67126fcd,"[0, 1, 0, 0, 1]"
8de716e4bc7f9dcaa5ca9d90b450eb029935a9b5,"[0, 1, 0, 0, 1]"
f1c3e25fe497176d566162b17aa06084b0bde034,"[1, 1, 0, 0, 0]"
45484f788baa60e190cbf4add0a3972314dbfe6d,"[0, 0, 0, 1, 1]"
19c4a032b31c8779ba483ed2a8db8e8c1721a9a4,"[0, 0, 0, 1, 1]"
bbc83feaed0540caecbe52c0d2faa44a5955fc49,"[0, 0, 0, 1, 1]"
0c7be53f1efd3d5c69fea8300a7e82b54c2dd603,"[0, 0, 0, 1, 1]"
5c2a54f554ee3639410b44de583d8637d0909034,"[0, 0, 0, 1, 1]"
f0dbd0d60250a3dfc7f49a96ece4cbc2a996b8c6,"[0, 0, 0, 1, 1]"
de9e3bca8574a794a2bd049aa00e99610d9a59dc,"[0, 0, 1, 0, 1]"
6d6f35cd5259af2bb4e6451633e31aad40d4f6c2,"[0, 0, 0, 1, 1]"
413ff0ead88cb7f053885fe07eeade157a7bb99c,"[0, 0, 0, 1, 1]"
a9853cd642b28b04847d8183bcfbe69820143a33,"[0, 0, 0, 1, 1]"
742435a10162c88012c66e74eef9a5880bf74d16,"[0, 1, 0, 0, 1]"
3d54e7d63e333f6cd939cc9f3193c6fdb019cedd,"[0, 1, 0, 0, 1]"
28174bc0169725885e3a691cfea0e7a275850b7d,"[1, 1, 0, 0, 0]"
58eeea6b944e72e2c75f26268e476c98b7add98f,"[0, 0, 1, 0, 1]"
cc23fc8a22642a10915f86950f727ede083249fa,"[0, 1, 0, 0, 1]"
7c9ce984b8fdaf3d42e58a916435134cdad3b0d6,"[0, 1, 0, 0, 1]"
b42993a9edd87626b323960ab96023cfda892db7,"[0, 0, 0, 1, 1]"
22a1d86b4f3022aaf5afad713bda125673979c93,"[0, 0, 1, 0, 1]"
9251fa62e2cecfbba16b15e3c174cfc875b4caa0,"[0, 0, 0, 1, 1]"
87d63de8c348c3631472ac5239705672867f8b48,"[0, 1, 0, 0, 1]"
eff6f953fde66da923464ef0cf29406cd46afd43,"[0, 1, 0, 0, 1]"
a5eb362b20b04ca166aad63fe5dcd624730088b4,"[0, 1, 0, 0, 1]"
fd96d9a1768abc5e1ee22d0ceddb237b6adc2318,"[0, 1, 0, 0, 1]"
0e457210f8fda54c19dc07e3f8d9138209d15ba3,"[0, 0, 0, 1, 1]"
479516be9e6e48bee4bc1345e1c9752597bfb46c,"[0, 1, 0, 0, 1]"
d6ef9986d2367580046ed84df7884a9441c4e6e1,"[0, 0, 1, 0, 1]"
cc154cdb2d5a40a2c987953bf26ee4873dddca7e,"[1, 1, 0, 0, 0]"
beee279d174da6a041e4ad463ef0dd3a2cd9459e,"[0, 0, 1, 0, 1]"
fa93e73afd3135cfa95f8e8898327910513e2007,"[0, 0, 0, 1, 1]"
236167973295e406c523a6589707c61b3b91ff4b,"[0, 0, 0, 1, 1]"
d7b73a5cb4efc396726dc5f9a02fe9f8bf442334,"[0, 0, 0, 1, 1]"
03af5d22461578a96e486d6b43034dbf488331fe,"[0, 1, 0, 0, 1]"
1c95b6a80cf15a2e81a794270e301282bb55358f,"[1, 1, 0, 0, 0]"
ae97bb763797698a4870cd3d5836d79ec3b0e44a,"[0, 0, 0, 1, 1]"
9ed7e4a3fd9a295b4f7f3f3f562f0422ca7e9369,"[0, 0, 0, 1, 1]"
42c64e007768d5eb9e3623a6c06b25dda618219e,"[0, 1, 0, 0, 1]"
2624ae2dbfdf0a9d8511c3b79eb61843fbbd5b94,"[0, 1, 0, 0, 1]"
6324fe57b3b6888acc83afca30d7de2772416192,"[0, 1, 0, 0, 1]"
74ce215074b2b728a9bcb979d26b14e839e3108f,"[0, 1, 0, 0, 1]"
08c286957ffbff87692500ce41304a73312c4e1f,"[0, 1, 0, 0, 1]"
3d565fc737eabe16223c45e00473b01073c9f890,"[0, 0, 1, 0, 1]"
bef7dde9aa869c38c267f68c60ac937dd34e5a77,"[0, 1, 0, 0, 1]"
0358f143b8d0512860f92b26399ab9d9835bcc0d,"[1, 1, 0, 0, 0]"
373b6f2414106af8cb5c7af04ccc495b7cef66a1,"[0, 0, 1, 0, 1]"
7f7eaad5ddbdfba3bc269ddd1ac20b50e1a2155b,"[0, 0, 1, 0, 1]"
0056baf879d4702a92e2748a0742e3f41f6426e6,"[0, 0, 0, 1, 1]"
f1db391a0146cf613bcc3a8fcfac03282217e1ff,"[0, 1, 0, 0, 1]"
facc42d55c7b3658f170387de3400d48dacf6506,"[1, 1, 0, 0, 0]"
2cca621c091fa0ba85d6aa8768067e444fcd35eb,"[0, 1, 0, 0, 1]"
7edf6b828b3e41798c1ae4abc4e1fda01bb33fbd,"[1, 1, 0, 0, 0]"
3985dd31299899059f21eb170806b3620ecc5a42,"[0, 1, 0, 0, 1]"
040c0ec93f0b552f51bea7c532e1bc862cd6df80,"[0, 1, 0, 0, 1]"
